session_id,dwell_time_s,commands_run,commands_success,detected_as_honeypot
0,8.83,13,13,False
1,11.15,13,13,True
2,8.54,13,13,False
3,12.24,13,13,False
4,14.65,13,13,False
5,11.16,13,13,False
6,9.05,13,13,True
7,8.84,13,13,True
8,13.85,13,13,False
9,9.05,13,13,False
10,11.85,13,13,True
11,14.25,13,13,False
12,8.73,13,13,False
13,11.54,13,13,True
14,13.85,13,13,False
15,12.84,13,13,False
16,8.63,13,13,False
17,16.75,13,13,False
18,11.64,13,13,True
19,20.75,13,13,True
