session_id,dwell_time_s,commands_run,commands_success,detected_as_honeypot
0,34.68,15,15,False
1,42.69,15,15,False
2,40.98,15,15,False
3,35.67,15,15,False
4,45.48,15,15,False
5,32.26,15,15,False
6,36.77,15,15,False
7,35.17,15,15,False
8,30.66,15,15,False
9,31.56,15,15,False
10,28.45,15,15,False
11,27.46,15,15,False
12,34.47,15,15,False
13,28.46,15,15,False
14,35.56,15,15,False
15,36.37,15,15,False
16,36.07,15,15,False
17,31.57,15,15,False
18,28.45,15,15,False
19,41.68,15,15,False
