session_id,dwell_time_s,commands_run,commands_success,detected_as_honeypot
0,20.25,13,13,True
1,14.55,13,13,False
2,70.33,10,10,True
3,8.63,13,13,False
4,18.05,13,13,False
5,13.45,13,13,False
6,10.14,13,13,False
7,27.47,13,13,False
8,10.25,13,13,False
9,13.64,13,13,True
10,62.43,3,3,True
11,10.84,13,13,False
12,10.54,13,13,False
13,10.74,13,13,False
14,10.44,13,13,False
15,10.95,13,13,False
16,9.84,13,13,False
17,10.75,13,13,False
18,9.34,13,13,False
19,9.24,13,13,False
